NN,R-max mass,R-residual,l1-residual
0.91,0.93,0.93,0.88
0.88,0.93,0.94,0.85
0.85,0.9,0.89,0.83
0.88,0.96,0.95,0.93
0.91,0.91,0.9,0.86
0.91,0.95,0.95,0.79
0.81,0.93,0.93,0.86
0.93,0.91,0.89,0.89
0.88,0.92,0.93,0.91
0.94,0.96,0.96,0.81
0.91,0.94,0.94,0.9
0.94,0.98,0.97,0.91
0.85,0.91,0.91,0.48
0.87,0.89,0.89,0.89
0.83,0.93,0.94,0.88
0.84,0.91,0.91,0.52
0.89,0.94,0.95,0.88
0.84,0.93,0.92,0.89
0.9,0.88,0.87,0.4
0.84,0.88,0.87,0.83
0.91,0.96,0.96,0.93
0.9,0.94,0.93,0.85
0.9,0.93,0.92,0.88
0.87,0.94,0.95,0.94
0.89,0.92,0.92,0.87
0.89,0.89,0.9,0.92
0.87,0.92,0.89,0.85
0.84,0.92,0.91,0.89
0.9,0.93,0.91,0.58
0.95,0.96,0.94,0.9
0.93,0.9,0.91,0.89
0.88,0.94,0.95,0.89
0.92,0.9,0.9,0.85
0.87,0.9,0.91,0.9
0.91,0.96,0.94,0.87
0.9,0.9,0.92,0.76
0.87,0.94,0.93,0.91
0.85,0.92,0.93,0.85
0.93,0.93,0.92,0.8
0.94,0.93,0.94,0.85
0.92,0.97,0.94,0.87
0.93,0.94,0.93,0.86
0.91,0.95,0.94,0.88
0.9,0.93,0.94,0.73
0.91,0.95,0.93,0.81
0.92,0.95,0.95,0.53
0.91,0.96,0.96,0.9
0.88,0.91,0.91,0.84
0.83,0.87,0.85,0.73
0.88,0.91,0.91,0.89
