NN,R-max mass,R-residual,l1-residual
0.72,0.8,0.76,0.68
0.77,0.82,0.8,0.76
0.68,0.82,0.79,0.73
0.73,0.83,0.77,0.71
0.79,0.87,0.88,0.85
0.77,0.83,0.81,0.78
0.71,0.78,0.75,0.74
0.71,0.83,0.73,0.65
0.73,0.78,0.75,0.68
0.67,0.76,0.74,0.69
0.75,0.77,0.73,0.75
0.77,0.79,0.78,0.79
0.81,0.84,0.8,0.8
0.75,0.79,0.77,0.79
0.7,0.8,0.74,0.75
0.74,0.86,0.78,0.69
0.59,0.75,0.69,0.75
0.83,0.8,0.78,0.77
0.65,0.81,0.81,0.75
0.71,0.8,0.77,0.77
0.69,0.82,0.76,0.7
0.87,0.88,0.85,0.74
0.75,0.82,0.75,0.73
0.76,0.85,0.79,0.46
0.74,0.72,0.68,0.64
0.73,0.77,0.73,0.74
0.78,0.81,0.77,0.75
0.77,0.77,0.77,0.75
0.74,0.82,0.8,0.83
0.74,0.78,0.74,0.75
0.79,0.83,0.78,0.78
0.71,0.73,0.7,0.79
0.77,0.74,0.72,0.77
0.76,0.82,0.8,0.81
0.79,0.79,0.81,0.79
0.71,0.78,0.78,0.72
0.78,0.83,0.83,0.75
0.66,0.72,0.65,0.64
0.74,0.79,0.78,0.79
0.75,0.76,0.76,0.78
0.75,0.71,0.7,0.66
0.73,0.8,0.73,0.76
0.73,0.79,0.74,0.71
0.77,0.78,0.76,0.68
0.69,0.78,0.75,0.73
0.73,0.82,0.78,0.75
0.7,0.76,0.75,0.72
0.74,0.82,0.79,0.76
0.76,0.84,0.84,0.75
0.78,0.81,0.82,0.76
