NN,R-max mass,R-residual,l1-residual
0.97,1.0,1.0,0.6
0.98,0.99,0.99,0.67
0.95,0.97,0.97,0.66
0.95,0.95,0.95,0.65
0.98,0.99,0.99,0.64
0.97,0.97,0.97,0.62
0.97,0.97,0.97,0.59
0.94,0.96,0.96,0.63
0.96,0.97,0.97,0.55
0.98,0.96,0.96,0.7
0.95,0.96,0.97,0.71
0.97,0.98,0.97,0.66
0.96,0.97,0.97,0.67
0.99,1.0,1.0,0.65
0.98,0.98,0.98,0.64
0.99,1.0,1.0,0.57
0.98,0.98,0.98,0.69
0.97,0.99,0.99,0.61
0.98,0.98,0.98,0.6
0.99,0.99,0.99,0.64
0.96,0.96,0.96,0.66
0.96,0.98,0.98,0.62
0.98,0.99,0.99,0.67
0.96,0.97,0.97,0.61
0.98,0.98,0.98,0.68
0.95,0.96,0.96,0.72
0.94,0.95,0.94,0.65
0.95,0.96,0.96,0.56
0.96,0.97,0.97,0.58
0.97,0.99,0.98,0.72
0.97,0.98,0.98,0.66
0.97,0.98,0.97,0.6
0.99,0.97,0.96,0.66
0.97,0.98,0.97,0.6
0.99,0.99,0.98,0.66
0.96,0.96,0.95,0.56
0.98,0.98,0.98,0.61
0.99,1.0,1.0,0.6
0.96,0.97,0.97,0.66
0.93,0.93,0.94,0.71
0.99,0.98,0.98,0.57
0.95,0.95,0.95,0.73
0.94,0.96,0.95,0.63
0.98,0.99,0.99,0.65
0.99,0.99,0.99,0.65
0.97,0.99,0.97,0.61
0.97,0.98,0.98,0.65
0.97,0.99,0.99,0.64
0.98,0.98,0.98,0.67
0.98,1.0,1.0,0.59
