NN,R-max mass,R-residual,l1-residual
0.96,0.98,0.98,0.54
0.99,0.99,0.98,0.48
0.98,0.99,0.99,0.52
0.99,0.99,0.99,0.55
0.96,0.97,0.97,0.52
0.98,0.97,0.97,0.54
0.97,0.99,0.99,0.5
0.98,0.98,0.98,0.45
0.98,0.97,0.97,0.56
1.0,1.0,1.0,0.45
0.98,0.99,0.99,0.54
0.96,0.99,0.99,0.55
0.99,0.99,0.99,0.52
0.98,0.99,0.99,0.58
0.99,0.98,0.98,0.56
0.96,0.98,0.98,0.67
1.0,1.0,1.0,0.53
0.98,1.0,1.0,0.58
0.99,1.0,1.0,0.56
0.95,0.96,0.96,0.59
0.96,0.97,0.97,0.6
0.97,0.99,0.99,0.47
0.96,0.99,0.99,0.45
0.99,1.0,1.0,0.52
0.96,0.99,0.99,0.58
0.97,0.99,0.99,0.57
0.97,0.98,0.98,0.53
0.98,0.99,0.99,0.53
0.98,0.99,0.99,0.51
0.97,0.99,0.99,0.64
0.98,0.99,0.99,0.51
0.97,0.99,0.99,0.6
0.97,1.0,1.0,0.53
0.98,0.98,0.98,0.6
0.96,0.98,0.98,0.45
0.95,0.97,0.97,0.57
0.98,0.97,0.97,0.52
0.98,0.99,0.99,0.48
1.0,1.0,1.0,0.63
0.99,1.0,1.0,0.52
0.99,0.99,0.99,0.55
0.96,0.99,0.99,0.54
0.98,0.99,0.99,0.51
0.97,0.98,0.98,0.46
0.99,0.99,0.99,0.51
0.99,1.0,1.0,0.57
0.98,0.98,0.98,0.64
0.99,0.99,0.99,0.55
0.97,1.0,1.0,0.55
0.97,0.97,0.98,0.48
