NN,R-max mass,R-residual,l1-residual
0.79,0.87,0.87,0.54
0.83,0.86,0.85,0.59
0.75,0.8,0.8,0.53
0.84,0.86,0.87,0.59
0.85,0.87,0.87,0.6
0.77,0.86,0.84,0.55
0.73,0.86,0.82,0.59
0.8,0.86,0.85,0.61
0.81,0.83,0.8,0.51
0.82,0.87,0.87,0.48
0.77,0.81,0.83,0.51
0.87,0.86,0.85,0.53
0.81,0.82,0.82,0.48
0.81,0.87,0.88,0.57
0.78,0.83,0.84,0.62
0.83,0.87,0.89,0.58
0.79,0.87,0.87,0.6
0.79,0.81,0.81,0.61
0.75,0.86,0.86,0.54
0.79,0.84,0.87,0.55
0.88,0.9,0.9,0.62
0.74,0.85,0.84,0.49
0.76,0.84,0.83,0.52
0.7,0.81,0.81,0.58
0.73,0.79,0.8,0.51
0.78,0.94,0.92,0.58
0.72,0.83,0.83,0.47
0.82,0.82,0.82,0.52
0.77,0.81,0.84,0.62
0.73,0.83,0.83,0.56
0.79,0.84,0.84,0.61
0.84,0.91,0.9,0.63
0.71,0.81,0.8,0.58
0.75,0.85,0.85,0.54
0.81,0.89,0.9,0.63
0.81,0.91,0.9,0.6
0.83,0.89,0.88,0.52
0.82,0.9,0.9,0.61
0.77,0.83,0.82,0.56
0.82,0.83,0.82,0.45
0.73,0.81,0.82,0.64
0.81,0.85,0.83,0.59
0.77,0.86,0.86,0.58
0.82,0.84,0.84,0.63
0.75,0.78,0.78,0.56
0.81,0.88,0.9,0.56
0.78,0.81,0.82,0.57
0.82,0.84,0.84,0.54
0.74,0.85,0.83,0.62
0.82,0.86,0.84,0.62
