NN,R-max mass,R-residual,l1-residual
0.98,1.0,1.0,0.62
0.98,0.97,0.97,0.66
0.96,0.97,0.94,0.63
0.97,0.98,0.98,0.62
0.95,0.94,0.94,0.65
0.98,0.98,0.98,0.69
0.97,0.96,0.97,0.66
0.97,0.97,0.97,0.67
0.94,0.94,0.94,0.69
0.97,1.0,1.0,0.68
0.96,0.97,0.97,0.66
0.98,0.98,0.98,0.68
0.97,0.96,0.97,0.67
0.97,0.98,0.98,0.73
0.95,0.95,0.95,0.62
0.94,0.97,0.97,0.67
0.98,0.96,0.96,0.71
0.94,0.95,0.95,0.67
0.97,0.97,0.97,0.66
0.94,0.94,0.94,0.71
0.94,0.94,0.94,0.69
0.97,0.99,0.99,0.72
0.95,0.93,0.92,0.75
0.93,0.96,0.96,0.72
0.96,0.97,0.97,0.72
0.96,0.98,0.98,0.64
0.95,0.95,0.95,0.69
0.99,0.99,0.99,0.68
0.97,0.96,0.96,0.73
0.97,0.97,0.97,0.66
0.97,0.99,0.99,0.63
0.99,0.98,0.98,0.63
0.93,0.99,0.96,0.65
0.97,0.96,0.97,0.71
0.92,0.95,0.95,0.71
0.98,1.0,0.99,0.69
0.95,0.95,0.96,0.67
0.94,0.98,0.97,0.66
0.96,0.99,0.99,0.62
0.99,1.0,1.0,0.64
0.91,0.93,0.93,0.65
0.94,0.96,0.95,0.68
1.0,0.99,0.99,0.63
0.96,0.97,0.98,0.59
0.94,0.95,0.95,0.7
0.92,0.95,0.95,0.67
0.96,0.97,0.97,0.72
0.94,0.95,0.95,0.64
0.93,0.95,0.95,0.65
0.96,0.97,0.97,0.62
