NN,R-max mass,R-residual,l1-residual
0.84,0.86,0.87,0.79
0.9,0.88,0.86,0.85
0.84,0.94,0.93,0.9
0.75,0.87,0.87,0.8
0.83,0.88,0.87,0.83
0.89,0.97,0.94,0.83
0.86,0.92,0.9,0.83
0.85,0.91,0.88,0.84
0.83,0.91,0.9,0.87
0.82,0.86,0.85,0.82
0.84,0.92,0.91,0.87
0.86,0.89,0.88,0.84
0.84,0.95,0.95,0.91
0.87,0.87,0.84,0.77
0.85,0.88,0.84,0.81
0.86,0.9,0.89,0.86
0.84,0.91,0.9,0.9
0.86,0.96,0.93,0.86
0.81,0.87,0.86,0.87
0.84,0.87,0.86,0.82
0.86,0.85,0.83,0.71
0.89,0.95,0.92,0.91
0.87,0.88,0.89,0.87
0.8,0.86,0.86,0.85
0.87,0.96,0.96,0.88
0.83,0.92,0.9,0.84
0.87,0.9,0.86,0.87
0.79,0.87,0.87,0.84
0.75,0.88,0.87,0.79
0.86,0.9,0.89,0.88
0.84,0.86,0.87,0.84
0.81,0.9,0.89,0.86
0.83,0.94,0.92,0.86
0.85,0.87,0.85,0.77
0.81,0.88,0.88,0.88
0.84,0.89,0.87,0.87
0.88,0.93,0.92,0.93
0.85,0.93,0.9,0.84
0.82,0.84,0.82,0.79
0.85,0.91,0.9,0.88
0.76,0.81,0.8,0.75
0.88,0.95,0.92,0.94
0.84,0.83,0.83,0.79
0.85,0.93,0.9,0.81
0.85,0.9,0.9,0.87
0.84,0.9,0.86,0.81
0.86,0.94,0.93,0.91
0.85,0.92,0.93,0.83
0.86,0.94,0.94,0.9
0.78,0.86,0.83,0.83
