NN,R-max mass,R-residual,l1-residual
0.73,0.77,0.74,0.74
0.71,0.73,0.66,0.68
0.66,0.72,0.72,0.67
0.59,0.66,0.66,0.62
0.62,0.67,0.61,0.67
0.66,0.64,0.62,0.69
0.74,0.76,0.75,0.72
0.66,0.73,0.69,0.59
0.69,0.6,0.59,0.62
0.6,0.66,0.66,0.68
0.73,0.75,0.73,0.8
0.72,0.75,0.69,0.65
0.72,0.76,0.71,0.7
0.7,0.76,0.74,0.71
0.67,0.79,0.77,0.72
0.72,0.73,0.68,0.68
0.61,0.66,0.64,0.64
0.66,0.71,0.68,0.64
0.7,0.66,0.65,0.67
0.62,0.64,0.63,0.62
0.69,0.68,0.69,0.72
0.69,0.72,0.67,0.67
0.66,0.66,0.61,0.64
0.71,0.75,0.71,0.69
0.61,0.72,0.68,0.74
0.71,0.73,0.69,0.67
0.6,0.68,0.65,0.6
0.56,0.66,0.63,0.7
0.71,0.68,0.63,0.62
0.6,0.63,0.54,0.53
0.61,0.66,0.66,0.72
0.63,0.67,0.62,0.66
0.7,0.69,0.68,0.74
0.75,0.79,0.78,0.74
0.67,0.65,0.59,0.61
0.62,0.66,0.62,0.62
0.68,0.79,0.75,0.7
0.66,0.69,0.64,0.73
0.69,0.79,0.8,0.75
0.72,0.73,0.68,0.65
0.71,0.73,0.67,0.65
0.81,0.81,0.75,0.73
0.74,0.8,0.77,0.83
0.67,0.72,0.7,0.73
0.8,0.79,0.76,0.75
0.64,0.68,0.64,0.66
0.76,0.84,0.82,0.75
0.71,0.78,0.74,0.76
0.73,0.79,0.71,0.75
0.68,0.69,0.67,0.77
