NN,R-max mass,R-residual,l1-residual
0.94,0.99,0.99,0.54
0.97,1.0,1.0,0.65
0.97,0.98,0.98,0.55
0.99,0.99,0.99,0.58
0.98,0.97,0.97,0.53
0.99,1.0,1.0,0.5
0.99,1.0,1.0,0.47
0.97,0.99,0.99,0.56
0.97,0.99,0.99,0.53
0.98,0.98,0.98,0.53
0.99,0.99,0.99,0.47
0.99,0.99,0.99,0.58
0.96,0.97,0.97,0.53
0.97,0.97,0.97,0.52
0.98,0.98,0.98,0.58
0.98,0.99,0.99,0.56
0.97,0.98,0.98,0.53
0.98,0.98,0.98,0.58
0.98,0.99,0.99,0.54
0.98,0.98,0.98,0.43
0.98,0.99,0.99,0.5
0.97,0.97,0.97,0.54
1.0,1.0,1.0,0.42
0.98,0.99,0.99,0.49
0.98,0.99,0.99,0.41
0.99,0.99,0.99,0.49
0.99,0.98,0.99,0.45
0.99,0.99,0.99,0.59
0.97,0.98,0.99,0.53
0.98,1.0,1.0,0.59
0.98,0.98,0.98,0.49
0.99,0.99,0.99,0.5
0.99,0.98,0.98,0.57
0.98,0.99,0.99,0.49
0.99,0.98,0.99,0.55
0.97,0.98,0.98,0.42
0.98,0.97,0.97,0.58
0.98,0.98,0.98,0.55
0.9,0.94,0.94,0.52
0.98,0.99,0.99,0.52
0.98,0.98,0.98,0.52
0.99,1.0,1.0,0.62
0.97,0.96,0.96,0.55
1.0,0.99,0.99,0.49
0.96,0.98,0.98,0.48
0.96,0.98,0.98,0.53
0.97,0.98,0.98,0.49
0.98,0.99,0.99,0.52
0.98,0.98,0.98,0.52
0.99,1.0,1.0,0.59
