NN,R-max mass,R-residual,l1-residual
0.83,0.92,0.92,0.61
0.88,0.95,0.95,0.53
0.87,0.94,0.95,0.5
0.87,0.9,0.88,0.64
0.9,0.97,0.97,0.57
0.85,0.94,0.93,0.52
0.85,0.94,0.94,0.59
0.89,0.94,0.95,0.52
0.89,0.9,0.89,0.49
0.83,0.92,0.91,0.56
0.84,0.9,0.91,0.53
0.9,0.92,0.92,0.6
0.81,0.87,0.9,0.51
0.81,0.87,0.87,0.52
0.83,0.93,0.91,0.6
0.87,0.93,0.91,0.6
0.87,0.92,0.94,0.55
0.85,0.86,0.85,0.54
0.85,0.9,0.9,0.61
0.84,0.9,0.9,0.67
0.9,0.93,0.93,0.59
0.83,0.94,0.94,0.53
0.92,0.93,0.92,0.51
0.86,0.9,0.9,0.54
0.86,0.91,0.91,0.59
0.83,0.88,0.88,0.53
0.8,0.87,0.85,0.53
0.83,0.89,0.89,0.6
0.88,0.93,0.93,0.65
0.82,0.94,0.93,0.55
0.92,0.97,0.97,0.55
0.89,0.92,0.91,0.6
0.81,0.88,0.89,0.59
0.88,0.9,0.9,0.58
0.92,0.94,0.97,0.55
0.89,0.93,0.94,0.49
0.86,0.93,0.93,0.57
0.88,0.91,0.91,0.57
0.84,0.88,0.88,0.54
0.88,0.96,0.97,0.56
0.91,0.95,0.95,0.59
0.82,0.88,0.87,0.49
0.87,0.96,0.94,0.57
0.83,0.92,0.94,0.63
0.82,0.91,0.91,0.66
0.92,0.97,0.96,0.59
0.82,0.88,0.88,0.58
0.89,0.93,0.92,0.61
0.86,0.91,0.91,0.47
0.82,0.88,0.87,0.57
