NN,R-max mass,R-residual,l1-residual
0.77,0.79,0.77,0.46
0.64,0.68,0.67,0.43
0.63,0.63,0.67,0.44
0.53,0.59,0.58,0.36
0.7,0.69,0.66,0.47
0.68,0.77,0.76,0.56
0.67,0.73,0.73,0.47
0.67,0.74,0.73,0.53
0.6,0.6,0.57,0.36
0.61,0.62,0.66,0.53
0.66,0.67,0.68,0.42
0.73,0.7,0.69,0.28
0.64,0.68,0.67,0.32
0.64,0.63,0.62,0.34
0.52,0.56,0.57,0.41
0.65,0.65,0.6,0.38
0.64,0.66,0.65,0.47
0.58,0.56,0.56,0.38
0.66,0.7,0.68,0.52
0.56,0.57,0.57,0.46
0.66,0.68,0.64,0.54
0.67,0.66,0.63,0.34
0.68,0.68,0.71,0.53
0.64,0.67,0.66,0.47
0.68,0.71,0.71,0.53
0.65,0.7,0.69,0.35
0.63,0.67,0.65,0.33
0.69,0.71,0.68,0.3
0.67,0.69,0.7,0.46
0.62,0.58,0.57,0.25
0.66,0.66,0.65,0.43
0.75,0.77,0.74,0.42
0.64,0.67,0.68,0.32
0.69,0.69,0.67,0.55
0.61,0.6,0.55,0.4
0.67,0.71,0.66,0.39
0.68,0.71,0.69,0.48
0.67,0.67,0.66,0.42
0.63,0.68,0.67,0.42
0.61,0.62,0.54,0.3
0.63,0.71,0.71,0.62
0.7,0.75,0.72,0.43
0.64,0.7,0.63,0.51
0.55,0.59,0.62,0.48
0.57,0.61,0.62,0.4
0.62,0.69,0.7,0.45
0.67,0.67,0.64,0.33
0.58,0.61,0.64,0.27
0.74,0.77,0.78,0.52
0.6,0.62,0.66,0.48
