NN,R-max mass,R-residual,l1-residual
0.93,0.94,0.93,0.85
0.89,0.91,0.91,0.86
0.86,0.9,0.88,0.76
0.89,0.86,0.89,0.77
0.91,0.88,0.91,0.76
0.95,0.97,0.94,0.77
0.73,0.74,0.73,0.66
0.91,0.94,0.89,0.83
0.84,0.87,0.86,0.76
0.92,0.93,0.89,0.85
0.88,0.91,0.9,0.8
0.87,0.89,0.86,0.73
0.77,0.83,0.82,0.68
0.85,0.87,0.86,0.69
0.85,0.9,0.9,0.88
0.88,0.88,0.87,0.83
0.88,0.88,0.89,0.84
0.83,0.85,0.81,0.69
0.87,0.88,0.89,0.77
0.83,0.96,0.95,0.85
0.67,0.82,0.87,0.9
0.87,0.87,0.9,0.86
0.84,0.86,0.83,0.76
0.79,0.9,0.86,0.84
0.87,0.89,0.87,0.84
0.86,0.92,0.94,0.81
0.95,0.95,0.93,0.67
0.83,0.91,0.88,0.77
0.83,0.86,0.86,0.78
0.87,0.9,0.9,0.83
0.78,0.78,0.8,0.72
0.85,0.85,0.86,0.81
0.87,0.88,0.87,0.78
0.86,0.9,0.89,0.77
0.86,0.88,0.87,0.85
0.86,0.86,0.89,0.73
0.86,0.89,0.85,0.88
0.87,0.93,0.89,0.81
0.86,0.86,0.84,0.82
0.9,0.9,0.93,0.77
0.87,0.87,0.85,0.74
0.84,0.85,0.83,0.71
0.81,0.81,0.81,0.73
0.96,0.97,0.95,0.82
0.89,0.88,0.9,0.85
0.85,0.87,0.89,0.78
0.87,0.86,0.86,0.76
0.85,0.87,0.86,0.76
0.8,0.8,0.78,0.82
0.91,0.96,0.93,0.87
