Dataset,Method,Frac_Labeled,Best_Accuracy,Best_Param
Botswana,l1_res,0.0001,0.41440000000000005,0.0001
Botswana,l1_res,0.0005,0.4136000000000001,0.0001
Botswana,l1_res,0.005,0.4046,0.0001
Botswana,l1_res,0.01,0.4896000000000001,0.0001
Botswana,l1_res,0.05,0.6285999999999999,0.0001
Botswana,l1_res,0.1,0.661,1e-05
