Dataset,Method,Frac_Labeled,Best_Accuracy,Best_Param
Pavia_University,l1_res,0.0001,0.4118,1e-07
Pavia_University,l1_res,0.0005,0.444,0.0001
Pavia_University,l1_res,0.005,0.5468,1e-05
Pavia_University,l1_res,0.01,0.5694,1e-05
Pavia_University,l1_res,0.05,0.5713999999999999,1e-05
Pavia_University,l1_res,0.1,0.5701999999999999,1e-05
